Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
35,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",<function booster_version at 0x00000277097CCA40>,Success,15 May 2017,23:21
36,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",<function booster_version at 0x00000277097CCA40>,Success,3 June 2017,21:07
37,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",<function booster_version at 0x00000277097CCA40>,Success,23 June 2017,19:10
38,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",<function booster_version at 0x00000277097CCA40>,Success,25 June 2017,20:25
39,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Controlled,5 July 2017,23:38
40,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,Success,14 August 2017,16:31
41,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,<function booster_version at 0x00000277097CCA40>,Controlled,24 August 2017,18:51
42,CCAFS,GovSat-1,"4,230 kg",GTO,SES,Success,<function booster_version at 0x00000277097CCA40>,No attempt,7 September 2017,14:00
43,VAFB,Paz,"2,150 kg",SSO,Hisdesat,Success,<function booster_version at 0x00000277097CCA40>,No attempt,9 October 2017,12:37
44,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Hispasat,Success,<function booster_version at 0x00000277097CCA40>,No attempt,11 October 2017,22:53:00
45,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,No attempt,30 October 2017,19:34
46,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,15 December 2017,15:36
47,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,23 December 2017,01:27
48,KSC,Bangabandhu-1,"3,600 kg",GTO,Thales-Alenia,Success,<function booster_version at 0x00000277097CCA40>,No attempt,8 January 2018,01:00
49,VAFB,Iridium NEXT,"6,460 kg",Polar,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,No attempt,31 January 2018,21:25
50,CCAFS,SES-12,"5,384 kg",GTO,SES,Success,<function booster_version at 0x00000277097CCA40>,No attempt,22 February 2018,14:17
51,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,6 March 2018,05:33
52,CCAFS,Telstar 19V,"7,075 kg",GTO,Telesat,Success,<function booster_version at 0x00000277097CCA40>,Success,30 March 2018,14:14
53,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,Success,2 April 2018,20:30
54,CCAFS,Merah Putih,"5,800 kg",GTO,Telkom Indonesia,Success,<function booster_version at 0x00000277097CCA40>,Success,18 April 2018,22:51
55,CCAFS,Telstar 18V,"7,060 kg",GTO,Telesat,Success,<function booster_version at 0x00000277097CCA40>,Success,11 May 2018,20:14
56,VAFB,SAOCOM 1A,"3,000 kg",SSO,CONAE,Success,<function booster_version at 0x00000277097CCA40>,Success,22 May 2018,19:47
57,KSC,Es'hail 2,"5,300 kg",GTO,Es'hailSat,Success,<function booster_version at 0x00000277097CCA40>,Success,4 June 2018,04:45
58,VAFB,SSO-A,"~4,000 kg",SSO,Spaceflight Industries,Success,<function booster_version at 0x00000277097CCA40>,Failure,29 June 2018,09:42
59,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,22 July 2018,05:50
60,CCAFS,GPS III,"4,400 kg",MEO,USAF,Success,<function booster_version at 0x00000277097CCA40>,Success,25 July 2018,11:39
61,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",<function booster_version at 0x00000277097CCA40>,Success,7 August 2018,05:18
62,CCAFS,Nusantara Satu,"4,850 kg",GTO,PSN,"Success
",<function booster_version at 0x00000277097CCA40>,Success,10 September 2018,04:45
63,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,8 October 2018,02:22
64,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,15 November 2018,20:46
65,CCAFS,Starlink,"13,620 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,3 December 2018,18:34:05
66,VAFB,RADARSAT Constellation,"4,200 kg",SSO,Canadian Space Agency,"Success
",<function booster_version at 0x00000277097CCA40>,Success,5 December 2018,18:16
67,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,23 December 2018,13:51
68,CCAFS,AMOS-17,"6,500 kg",GTO,Spacecom,"Success
",<function booster_version at 0x00000277097CCA40>,Success,11 January 2019,15:31
69,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,22 February 2019,01:45
70,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,2 March 2019,07:49
71,CCAFS,JCSat-18,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",<function booster_version at 0x00000277097CCA40>,Success,4 May 2019,06:48
72,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,"No attempt
",24 May 2019,02:30
73,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,12 June 2019,14:17
74,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,25 July 2019,22:01
75,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,6 August 2019,23:23
76,CCAFS,SpaceX CRS-20,"1,977 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,11 November 2019,14:56
77,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,5 December 2019,17:29
78,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,17 December 2019,00:10
79,KSC,Crew Dragon Demo-2,"12,530 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,7 January 2020,02:19:21
80,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,19 January 2020,15:30
81,CCAFS,Starlink,"15,410 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,29 January 2020,14:07
82,CCAFS,GPS III,"4,311 kg",MEO,U.S. Space Force,"Success
",<function booster_version at 0x00000277097CCA40>,Success,17 February 2020,15:05
83,CCAFS,ANASIS-II,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",<function booster_version at 0x00000277097CCA40>,Success,7 March 2020,04:50
84,KSC,Starlink,"14,932 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,18 March 2020,12:16
85,CCAFS,Starlink,"~15,440 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,22 April 2020,19:30
86,CCAFS,SAOCOM 1B,"3,130 kg",SSO,CONAE,"Success
",<function booster_version at 0x00000277097CCA40>,Success,30 May 2020,19:22
87,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,4 June 2020,01:25
88,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,13 June 2020,09:21
89,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,30 June 2020,20:10:46
90,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,20 July 2020,21:30
91,CCAFS,GPS III,"4,311 kg",MEO,USSF,"Success
",<function booster_version at 0x00000277097CCA40>,Success,7 August 2020,05:12
92,KSC,Crew-1,"~12,500 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,18 August 2020,14:31
93,VAFB,Sentinel-6 Michael Freilich (Jason-CS A),"1,192 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,30 August 2020,23:18
94,CCAFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,3 September 2020,12:46:14
95,KSC,SpaceX CRS-21,"2,972 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,6 October 2020,11:29:34
96,CCSFS,SXM-7,"7,000 kg",GTO,Sirius XM,"Success
",<function booster_version at 0x00000277097CCA40>,Success,18 October 2020,12:25:57
97,KSC,NROL-108,C,LEO,NRO,"Success
",<function booster_version at 0x00000277097CCA40>,Success,24 October 2020,15:31:34
98,CCSFS,Türksat 5A,"3,500 kg",GTO,Türksat,"Success
",<function booster_version at 0x00000277097CCA40>,Success,5 November 2020,23:24:23
99,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,16 November 2020,00:27
100,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,21 November 2020,17:17:08
101,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,<function booster_version at 0x00000277097CCA40>,"No attempt
",25 November 2020,02:13
102,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,6 December 2020,16:17:08
103,CCAFS,Dragon,0,LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,"No attempt
",13 December 2020,17:30:00
104,CCAFS,Dragon,525 kg,LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Uncontrolled,19 December 2020,14:00:00
105,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,8 January 2021,02:15
106,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,MDA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,20 January 2021,13:02
1,VAFB,CASSIOPE,500 kg,Polar orbit,SES,Success,<function booster_version at 0x00000277097CCA40>,Controlled,24 January 2021,15:00
1,CCAFS,SES-8,"3,170 kg",GTO,Thaicom,"Success
",<function booster_version at 0x00000277097CCA40>,Controlled,4 June 2010,18:45
2,CCAFS,Thaicom 6,"3,325 kg",GTO,NASA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,4 June 2010,18:45
3,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,Orbcomm,Success,<function booster_version at 0x00000277097CCA40>,"No attempt
",8 December 2010,15:43
4,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,AsiaSat,Success,<function booster_version at 0x00000277097CCA40>,Uncontrolled,22 May 2012,07:44
5,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,<function booster_version at 0x00000277097CCA40>,Failure ,8 October 2012,00:35
6,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Controlled,1 March 2013,15:10
7,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,29 September 2013,16:00
8,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,USAF,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,3 December 2013,22:41
9,Cape Canaveral,DSCOVR,570 kg,HEO,ABS,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,6 January 2014,22:06
10,Cape Canaveral,ABS-3A,"4,159 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Precluded,18 April 2014,19:25
11,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,,Failure,<function booster_version at 0x00000277097CCA40>,Success,14 July 2014,15:15
12,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,5 August 2014,08:00
13,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,Orbcomm,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,7 September 2014,05:00
14,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,21 September 2014,05:52
15,VAFB,Jason-3,553 kg,LEO,SES,Success,<function booster_version at 0x00000277097CCA40>,Success,10 January 2015,09:47
16,Cape Canaveral,SES-9,"5,271 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,11 February 2015,23:03
17,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,SKY Perfect JSAT Group,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,2 March 2015,03:50
18,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,Thaicom,"Success
",<function booster_version at 0x00000277097CCA40>,Success,14 April 2015,20:10
19,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,ABS,"Success
",<function booster_version at 0x00000277097CCA40>,Success,27 April 2015,23:03
20,Cape Canaveral,ABS-2A,"3,600 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,28 June 2015,14:21
21,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,SKY Perfect JSAT Group,"Success
",<function booster_version at 0x00000277097CCA40>,Success,22 December 2015,01:29
22,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,Iridium Communications,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,17 January 2016,18:42
23,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,4 March 2016,23:35
24,KSC,SpaceX CRS-10,"2,490 kg",LEO,EchoStar,Success,<function booster_version at 0x00000277097CCA40>,Success,8 April 2016,20:43
25,KSC,EchoStar 23,"5,600 kg",GTO,SES,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,6 May 2016,05:21
26,KSC,SES-10,"5,300 kg",GTO,NRO,"Success
",<function booster_version at 0x00000277097CCA40>,Success,27 May 2016,21:39
27,KSC,NROL-76,C,LEO,Inmarsat,"Success
",<function booster_version at 0x00000277097CCA40>,Success,15 June 2016,14:29
28,KSC,Inmarsat-5 F4,"6,070 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,18 July 2016,04:45
29,KSC,SpaceX CRS-11,"2,708 kg",LEO,Bulsatcom,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,14 August 2016,05:26
30,KSC,BulgariaSat-1,"3,669 kg",GTO,Iridium Communications,"Success
",<function booster_version at 0x00000277097CCA40>,Success,14 January 2017,17:54
31,VAFB,Iridium NEXT,"9,600 kg",LEO,Intelsat,"Success
",<function booster_version at 0x00000277097CCA40>,Success,19 February 2017,14:39
32,KSC,Intelsat 35e,"6,761 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,16 March 2017,06:00
33,KSC,SpaceX CRS-12,"3,310 kg",LEO,NSPO,"Success
",<function booster_version at 0x00000277097CCA40>,Success,30 March 2017,22:27
34,VAFB,Formosat-5,475 kg,SSO,USAF,"Success
",<function booster_version at 0x00000277097CCA40>,Success,1 May 2017,11:15
35,KSC,Boeing X-37B,"4,990 kg",LEO,Iridium Communications,"Success
",<function booster_version at 0x00000277097CCA40>,Success,15 May 2017,23:21
36,VAFB,Iridium NEXT,"9,600 kg",Polar,SES S.A.,"Success
",<function booster_version at 0x00000277097CCA40>,Success,3 June 2017,21:07
37,KSC,SES-11,"5,200 kg",GTO,KT Corporation,"Success
",<function booster_version at 0x00000277097CCA40>,Controlled,23 June 2017,19:10
38,KSC,Koreasat 5A,"3,500 kg",GTO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,25 June 2017,20:25
39,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,Controlled,5 July 2017,23:38
40,VAFB,Iridium NEXT,"9,600 kg",Polar,Northrop Grumman,Success,<function booster_version at 0x00000277097CCA40>,No attempt,14 August 2017,16:31
41,CCAFS,Zuma,C,LEO,SES,Success,<function booster_version at 0x00000277097CCA40>,No attempt,24 August 2017,18:51
42,CCAFS,GovSat-1,"4,230 kg",GTO,Hisdesat,Success,<function booster_version at 0x00000277097CCA40>,No attempt,7 September 2017,14:00
43,VAFB,Paz,"2,150 kg",SSO,Hispasat,Success,<function booster_version at 0x00000277097CCA40>,No attempt,9 October 2017,12:37
44,CCAFS,Hispasat 30W-6,"6,092 kg",GTO,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,Success,11 October 2017,22:53:00
45,VAFB,Iridium NEXT,"9,600 kg",Polar,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,30 October 2017,19:34
46,CCAFS,SpaceX CRS-14,"2,647 kg",LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,15 December 2017,15:36
47,CCAFS,Transiting Exoplanet Survey Satellite,362 kg,HEO,Thales-Alenia,Success,<function booster_version at 0x00000277097CCA40>,No attempt,23 December 2017,01:27
48,KSC,Bangabandhu-1,"3,600 kg",GTO,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,No attempt,8 January 2018,01:00
49,VAFB,Iridium NEXT,"6,460 kg",Polar,SES,Success,<function booster_version at 0x00000277097CCA40>,Success,31 January 2018,21:25
50,CCAFS,SES-12,"5,384 kg",GTO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,22 February 2018,14:17
51,CCAFS,SpaceX CRS-15,"2,697 kg",LEO,Telesat,Success,<function booster_version at 0x00000277097CCA40>,Success,6 March 2018,05:33
52,CCAFS,Telstar 19V,"7,075 kg",GTO,Iridium Communications,Success,<function booster_version at 0x00000277097CCA40>,Success,30 March 2018,14:14
53,VAFB,Iridium NEXT,"9,600 kg",Polar,Telkom Indonesia,Success,<function booster_version at 0x00000277097CCA40>,Success,2 April 2018,20:30
54,CCAFS,Merah Putih,"5,800 kg",GTO,Telesat,Success,<function booster_version at 0x00000277097CCA40>,Success,18 April 2018,22:51
55,CCAFS,Telstar 18V,"7,060 kg",GTO,CONAE,Success,<function booster_version at 0x00000277097CCA40>,Success,11 May 2018,20:14
56,VAFB,SAOCOM 1A,"3,000 kg",SSO,Es'hailSat,Success,<function booster_version at 0x00000277097CCA40>,Failure,22 May 2018,19:47
57,KSC,Es'hail 2,"5,300 kg",GTO,Spaceflight Industries,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,4 June 2018,04:45
58,VAFB,SSO-A,"~4,000 kg",SSO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Success,29 June 2018,09:42
59,CCAFS,SpaceX CRS-16,"2,500 kg",LEO,USAF,"Success
",<function booster_version at 0x00000277097CCA40>,Success,22 July 2018,05:50
60,CCAFS,GPS III,"4,400 kg",MEO,Iridium Communications,"Success
",<function booster_version at 0x00000277097CCA40>,Success,25 July 2018,11:39
61,VAFB,Iridium NEXT,"9,600 kg",Polar,PSN,"Success
",<function booster_version at 0x00000277097CCA40>,Success,7 August 2018,05:18
62,CCAFS,Nusantara Satu,"4,850 kg",GTO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,10 September 2018,04:45
63,KSC,Crew Dragon Demo-1,"12,055 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,8 October 2018,02:22
64,CCAFS,SpaceX CRS-17,"2,495 kg",LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,15 November 2018,20:46
65,CCAFS,Starlink,"13,620 kg",LEO,Canadian Space Agency,"Success
",<function booster_version at 0x00000277097CCA40>,No attempt,3 December 2018,18:34:05
66,VAFB,RADARSAT Constellation,"4,200 kg",SSO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,5 December 2018,18:16
67,CCAFS,SpaceX CRS-18,"2,268 kg",LEO,Spacecom,"Success
",<function booster_version at 0x00000277097CCA40>,Success,23 December 2018,13:51
68,CCAFS,AMOS-17,"6,500 kg",GTO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,11 January 2019,15:31
69,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Success,22 February 2019,01:45
70,CCAFS,SpaceX CRS-19,"2,617 kg",LEO,Sky Perfect JSAT,"Success
",<function booster_version at 0x00000277097CCA40>,"No attempt
",2 March 2019,07:49
71,CCAFS,JCSat-18,"6,956 kg",GTO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,4 May 2019,06:48
72,CCAFS,Starlink,"15,600 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,24 May 2019,02:30
73,KSC,Crew Dragon in-flight abort test,"12,050 kg",Sub-orbital,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,12 June 2019,14:17
